company_id,subclassification_code,classification_code,subclassification_name
0001,1     ,000022,PRODUCTOS DAC-EASY
0001,1     ,000024,PRODUCTOS DAC-EASY
0001,1     ,000025,PRODUCTOS DAC-EASY
0001,1     ,000026,PRODUCTOS DAC-EASY
0001,1     ,000027,PRODUCTOS DAC-EASY
0001,1     ,000028,PRODUCTOS DAC-EASY
0001,1     ,000031,PRODUCTOS DAC-EASY
0001,1     ,000032,PRODUCTOS DAC-EASY
0001,1     ,000033,PRODUCTOS DAC-EASY
0001,1     ,000034,PRODUCTOS DAC-EASY
0001,1     ,000035,PRODUCTOS DAC-EASY
0001,1     ,000036,PRODUCTOS DAC-EASY
0001,1     ,000037,PRODUCTOS DAC-EASY
0001,1     ,000038,PRODUCTOS DAC-EASY
0001,1     ,000039,PRODUCTOS DAC-EASY
0001,1     ,000040,PRODUCTOS DAC-EASY
0001,1     ,000041,PRODUCTOS DAC-EASY
0001,1     ,000042,PRODUCTOS DAC-EASY
0001,2     ,000022,ZAPATOS DE HOMBRE
0001,2     ,000023,ZAPATOS DE HOMBRE
0001,2     ,000024,ZAPATOS DE HOMBRE
0001,2     ,000025,ZAPATOS DE HOMBRE
0001,2     ,000026,ZAPATOS DE HOMBRE
0001,2     ,000027,ZAPATOS DE HOMBRE
0001,2     ,000028,ZAPATOS DE HOMBRE
0001,2     ,000031,ZAPATOS DE HOMBRE
0001,2     ,000032,ZAPATOS DE HOMBRE
0001,2     ,000033,ZAPATOS DE HOMBRE
0001,2     ,000034,ZAPATOS DE HOMBRE
0001,2     ,000035,ZAPATOS DE HOMBRE
0001,2     ,000036,ZAPATOS DE HOMBRE
0001,2     ,000037,ZAPATOS DE HOMBRE
0001,2     ,000038,ZAPATOS DE HOMBRE
0001,2     ,000039,ZAPATOS DE HOMBRE
0001,2     ,000040,ZAPATOS DE HOMBRE
0001,2     ,000041,ZAPATOS DE HOMBRE
0001,2     ,000042,ZAPATOS DE HOMBRE
0001,3     ,000022,ZAPATOS DE MUJER
0001,3     ,000023,ZAPATOS DE MUJER
0001,3     ,000024,ZAPATOS DE MUJER
0001,3     ,000025,ZAPATOS DE MUJER
0001,3     ,000026,ZAPATOS DE MUJER
0001,3     ,000027,ZAPATOS DE MUJER
0001,3     ,000028,ZAPATOS DE MUJER
0001,3     ,000031,ZAPATOS DE MUJER
0001,3     ,000032,ZAPATOS DE MUJER
0001,3     ,000033,ZAPATOS DE MUJER
0001,3     ,000034,ZAPATOS DE MUJER
0001,3     ,000035,ZAPATOS DE MUJER
0001,3     ,000036,ZAPATOS DE MUJER
0001,3     ,000037,ZAPATOS DE MUJER
0001,3     ,000038,ZAPATOS DE MUJER
0001,3     ,000039,ZAPATOS DE MUJER
0001,3     ,000040,ZAPATOS DE MUJER
0001,3     ,000041,ZAPATOS DE MUJER
0001,3     ,000042,ZAPATOS DE MUJER
0001,4     ,000022,JEANS DE MUJER
0001,4     ,000023,JEANS DE MUJER
0001,4     ,000024,JEANS DE MUJER
0001,4     ,000025,JEANS DE MUJER
0001,4     ,000026,JEANS DE MUJER
0001,4     ,000027,JEANS DE MUJER
0001,4     ,000028,JEANS DE MUJER
0001,4     ,000031,JEANS DE MUJER
0001,4     ,000032,JEANS DE MUJER
0001,4     ,000033,JEANS DE MUJER
0001,4     ,000034,JEANS DE MUJER
0001,4     ,000035,JEANS DE MUJER
0001,4     ,000036,JEANS DE MUJER
0001,4     ,000037,JEANS DE MUJER
0001,4     ,000038,JEANS DE MUJER
